Name;Author;URL;Price;Number of Ratings;Average Rating
Wings of Fire: An Autobiography of Abdul Kalam;Arun Tiwari;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;198.00;1,839;4.6 out of 5 stars
Mathematics for Class 9 by R D Sharma (2018-19 Session);R.D. Sharma;https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;355.00;11;4.8 out of 5 stars
RRB Group D Solved Papers and Practice Sets 2018;Arihant Experts;https://www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;120.00;11;4.4 out of 5 stars
Origin: Number 5 of the Robert Langdon Series;Dan Brown;https://www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1;400.00;823;4.0 out of 5 stars
Exam Warriors;Narendra Modi;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;57.00;306;4.4 out of 5 stars
15 Years' Solved Papers JEE Main;Vikas Jain;https://www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;293.00;40;4.3 out of 5 stars
Zero to One: Note on Start Ups, or How to Build the Future;Peter Thiel;https://www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1;230.00;796;4.3 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);Robert T Kiyosaki;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;280.00;2,509;4.5 out of 5 stars
Indian Economy;Ramesh Singh;https://www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1;477.00;338;3.9 out of 5 stars
How to Win Friends and Influence People;Dale Carnegie;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;99.00;1,833;4.5 out of 5 stars
Catalyst;Chandramouli;https://www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;200.00;32;4.4 out of 5 stars
Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination;Arihant Experts;https://www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1;417.00;21;4.2 out of 5 stars
Environment;Shankar;https://www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1;399.00;394;4.2 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;Benjamin Graham;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;369.00;719;4.3 out of 5 stars
Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times;Amish Tripathi;https://www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1;206.00;1,519;4.2 out of 5 stars
