Name;Author;URL;Price;Number of Ratings;Average Rating
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle;Amy Ramos;https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1;$9.36;689;4.2 out of 5 stars
Wonder;R. J. Palacio;https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;$10.19;12,589;4.9 out of 5 stars
The Wonderful Things You Will Be;Emily Winfield Martin;https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;$11.75;1,445;4.8 out of 5 stars
Simon vs. the Homo Sapiens Agenda;Becky Albertalli;https://www.amazon.com/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1;$6.69;788;4.7 out of 5 stars
The Very Hungry Caterpillar;Eric Carle;https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1;$6.61;3,418;4.6 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R));Marilyn Sadler;https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1;$8.99;229;4.8 out of 5 stars
I've Loved You Since Forever;Hoda Kotb;https://www.amazon.com/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1;$12.33;65;4.6 out of 5 stars
A Brief History of Time;Stephen Hawking;https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1;$10.69;2,128;4.5 out of 5 stars
Dear Zoo: A Lift-the-Flap Book;Rod Campbell;https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1;$4.71;2,561;4.8 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);Don Miguel Ruiz;https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;$8.19;6,927;4.6 out of 5 stars
Big Preschool Workbook;School Zone Staff;https://www.amazon.com/Preschool-Workbook-School-Zone-Staff/dp/0887431453?_encoding=UTF8&psc=1;$7.49;706;4.7 out of 5 stars
Children of Blood and Bone (Legacy of Orisha);Tomi Adeyemi;https://www.amazon.com/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;$11.95;193;4.7 out of 5 stars
How to Win Friends & Influence People;Dale Carnegie;https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;$9.60;8,051;4.7 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom;Melissa Hartwig;https://www.amazon.com/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1;$18.00;3,198;4.6 out of 5 stars
Fancy Nancy and the Missing Easter Bunny;Jane O'Connor;https://www.amazon.com/Fancy-Nancy-Missing-Easter-Bunny/dp/0062377922?_encoding=UTF8&psc=1;$3.91;17;4.3 out of 5 stars
Before We Were Yours: A Novel;Lisa Wingate;https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;$15.60;5,886;4.7 out of 5 stars
The Great Alone: A Novel;Kristin Hannah;https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;$17.39;1,495;4.6 out of 5 stars
Dungeon Master's Guide (D&D Core Rulebook);Wizards RPG Team;https://www.amazon.com/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;$29.97;1,137;4.6 out of 5 stars
The Tale of Peter Rabbit Story Board Book;Beatrix Potter;https://www.amazon.com/Tale-Peter-Rabbit-Story-Board/dp/0723244324?_encoding=UTF8&psc=1;$4.71;932;4.2 out of 5 stars
Killing the Deep State: The Fight to Save President Trump;Jerome R. Corsi;https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1;$17.99;298;4.8 out of 5 stars
The Plant Paradox: The Hidden Dangers in "Healthy" Foods That Cause Disease and Weight Gain;Dr. Steven R Gundry;https://www.amazon.com/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;$16.79;1,250;4.5 out of 5 stars
The Pout-Pout Fish;Deborah Diesen;https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;$5.79;2,281;4.8 out of 5 stars
Monster Manual (D&D Core Rulebook);Wizards RPG Team;https://www.amazon.com/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;$28.34;1,123;4.7 out of 5 stars
The Itsy Bitsy Bunny;Jeffrey Burton;https://www.amazon.com/Itsy-Bitsy-Bunny-Jeffrey-Burton/dp/1481456210?_encoding=UTF8&psc=1;$5.68;63;4.8 out of 5 stars
The Sun and Her Flowers;Rupi Kaur;https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;$10.19;666;4.6 out of 5 stars
Where Are Baby's Easter Eggs?: A Lift-the-Flap Book;Karen Katz;https://www.amazon.com/Where-Babys-Easter-Lift-Flap/dp/1416949240?_encoding=UTF8&psc=1;$6.99;175;4.6 out of 5 stars
Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be;Rachel Hollis;https://www.amazon.com/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1;$13.83;1,124;4.9 out of 5 stars
Baby Touch and Feel: Animals;DK;https://www.amazon.com/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1;$4.19;1,619;4.5 out of 5 stars
